Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
36204378,The Book of Why: The New Science of Cause and Effect,Judea Pearl,"Pearl, Judea",Dana Mackenzie,"=""046509760X""","=""9780465097609""",0,3.93,Basic Books,Hardcover,432,2018,2018,,2018/12/28,to-read,to-read (#294),to-read,,,,0,0
29947651,"Endurance: A Year in Space, A Lifetime of Discovery",Scott    Kelly,"Kelly, Scott",Margaret Lazarus Dean,"=""1524731595""","=""9781524731595""",0,4.21,Alfred A. Knopf,Hardcover,400,2017,2017,,2018/12/26,to-read,to-read (#293),to-read,,,,0,0
38213103,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",0,4.31,Hachette Book Group,Kindle Edition,355,2015,2015,2018/12/26,2018/03/13,abandoned,abandoned (#18),read,,,,1,0
110331,The Federalist Papers,Alexander Hamilton,"Hamilton, Alexander","Clinton Rossiter, James Madison, John Jay, Robert G. Scigliano, Charles R. Kessler, United States, Publius","=""0451528816""","=""9780451528810""",0,4.10,Signet Classics,Mass Market Paperback,688,2003,1788,,2018/12/23,to-read,to-read (#292),to-read,,,,0,0
37822614,Wisdom at Work: The Making of a Modern Elder,Chip Conley,"Conley, Chip",,"=""0525572902""","=""9780525572909""",0,3.89,Currency,Hardcover,272,2018,2018,,2018/12/23,to-read,to-read (#291),to-read,,,,0,0
43169404,Out of My Mind,Alan Arkin,"Arkin, Alan",,"=""""","=""""",0,3.21,Audible Original,Audible Audio,3,2018,2018,,2018/12/23,to-read,to-read (#290),to-read,,,,0,0
1416925,Show Stopper!: The Breakneck Race to Create Windows NT and the Next Generation at Microsoft,G. Pascal Zachary,"Zachary, G. Pascal",,"=""0029356717""","=""9780029356715""",0,4.15,Free Press,Hardcover,312,1994,1994,,2018/12/12,to-read,to-read (#289),to-read,,,,0,0
1599308,"Guns, Sails, and Empires: Technological Innovation and the Early Phases of European Expansion, 1400- 1700",Carlo M. Cipolla,"Cipolla, Carlo M.",,"=""089745071X""","=""9780897450713""",0,3.97,Sunflower University Press,Paperback,192,1988,1965,,2018/11/12,to-read,to-read (#288),to-read,,,from pg,0,0
864824,Medieval Technology and Social Change,Lynn Townsend White Jr.,"Jr., Lynn Townsend White",,"=""0195002660""","=""9780195002669""",0,3.74,Oxford University Press,Paperback,224,1966,1962,,2018/11/10,to-read,to-read (#287),to-read,,,,0,0
20657434,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,"Horowitz, Ben",,"=""""","=""""",4,4.22,Harper Business,Kindle Edition,308,2014,2014,2018/10/27,2016/02/14,"2017, 2018","2017 (#20), 2018 (#2)",read,,,,1,0
